COD_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,TOTAL
11,"BOGOTÁ, D.C.",38760
05,ANTIOQUIA,34473
76,VALLE DEL CAUCA,28443
08,ATLÁNTICO,14804
68,SANTANDER,11894
25,CUNDINAMARCA,11185
13,BOLÍVAR,8915
54,NORTE DE SANTANDER,8292
73,TOLIMA,8090
52,NARIÑO,7837
23,CÓRDOBA,7784
66,RISARALDA,6594
41,HUILA,6165
15,BOYACÁ,6052
17,CALDAS,5919
19,CAUCA,5633
20,CESAR,5368
47,MAGDALENA,5095
50,META,4911
70,SUCRE,4280
63,QUINDÍO,3948
44,LA GUAJIRA,2629
18,CAQUETÁ,1626
85,CASANARE,1405
27,CHOCÓ,1210
81,ARAUCA,1164
86,PUTUMAYO,819
95,GUAVIARE,241
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",239
91,AMAZONAS,190
99,VICHADA,188
94,GUAINÍA,115
97,VAUPÉS,87
