COD_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,SEXO_LABEL,TOTAL
05,ANTIOQUIA,Hombre,18978
05,ANTIOQUIA,Indeterminado,14
05,ANTIOQUIA,Mujer,15481
08,ATLÁNTICO,Hombre,7779
08,ATLÁNTICO,Mujer,7025
11,"BOGOTÁ, D.C.",Hombre,20058
11,"BOGOTÁ, D.C.",Indeterminado,23
11,"BOGOTÁ, D.C.",Mujer,18679
13,BOLÍVAR,Hombre,4794
13,BOLÍVAR,Indeterminado,2
13,BOLÍVAR,Mujer,4119
15,BOYACÁ,Hombre,3350
15,BOYACÁ,Indeterminado,4
15,BOYACÁ,Mujer,2698
17,CALDAS,Hombre,3185
17,CALDAS,Mujer,2734
18,CAQUETÁ,Hombre,1006
18,CAQUETÁ,Indeterminado,15
18,CAQUETÁ,Mujer,605
19,CAUCA,Hombre,3330
19,CAUCA,Indeterminado,1
19,CAUCA,Mujer,2302
20,CESAR,Hombre,3122
20,CESAR,Indeterminado,2
20,CESAR,Mujer,2244
23,CÓRDOBA,Hombre,4378
23,CÓRDOBA,Indeterminado,3
23,CÓRDOBA,Mujer,3403
25,CUNDINAMARCA,Hombre,6277
25,CUNDINAMARCA,Indeterminado,4
25,CUNDINAMARCA,Mujer,4904
27,CHOCÓ,Hombre,732
27,CHOCÓ,Indeterminado,2
27,CHOCÓ,Mujer,476
41,HUILA,Hombre,3452
41,HUILA,Mujer,2713
44,LA GUAJIRA,Hombre,1486
44,LA GUAJIRA,Indeterminado,1
44,LA GUAJIRA,Mujer,1142
47,MAGDALENA,Hombre,2832
47,MAGDALENA,Indeterminado,1
47,MAGDALENA,Mujer,2262
50,META,Hombre,2860
50,META,Mujer,2051
52,NARIÑO,Hombre,4291
52,NARIÑO,Indeterminado,4
52,NARIÑO,Mujer,3542
54,NORTE DE SANTANDER,Hombre,4780
54,NORTE DE SANTANDER,Indeterminado,2
54,NORTE DE SANTANDER,Mujer,3510
63,QUINDÍO,Hombre,2241
63,QUINDÍO,Indeterminado,1
63,QUINDÍO,Mujer,1706
66,RISARALDA,Hombre,3653
66,RISARALDA,Indeterminado,2
66,RISARALDA,Mujer,2939
68,SANTANDER,Hombre,6430
68,SANTANDER,Mujer,5464
70,SUCRE,Hombre,2351
70,SUCRE,Indeterminado,1
70,SUCRE,Mujer,1928
73,TOLIMA,Hombre,4580
73,TOLIMA,Indeterminado,2
73,TOLIMA,Mujer,3508
76,VALLE DEL CAUCA,Hombre,15820
76,VALLE DEL CAUCA,Indeterminado,7
76,VALLE DEL CAUCA,Mujer,12616
81,ARAUCA,Hombre,741
81,ARAUCA,Mujer,423
85,CASANARE,Hombre,837
85,CASANARE,Mujer,568
86,PUTUMAYO,Hombre,524
86,PUTUMAYO,Indeterminado,1
86,PUTUMAYO,Mujer,294
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Hombre,148
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",Mujer,91
91,AMAZONAS,Hombre,125
91,AMAZONAS,Mujer,65
94,GUAINÍA,Hombre,78
94,GUAINÍA,Mujer,37
95,GUAVIARE,Hombre,185
95,GUAVIARE,Indeterminado,1
95,GUAVIARE,Mujer,55
97,VAUPÉS,Hombre,48
97,VAUPÉS,Mujer,39
99,VICHADA,Hombre,122
99,VICHADA,Mujer,66
